"month","count","count.35","count.64","count.96"
"1980",18,11,9,2
"1981",22,12,7,3
"1982",8,6,2,1
"1983",6,4,3,1
"1984",20,13,5,1
"1985",14,11,7,3
"1986",10,6,4,NA
"1987",14,7,3,1
"1988",19,12,6,3
"1989",15,11,7,2
"1990",16,14,8,1
"1991",12,8,4,2
"1992",10,7,4,1
"1993",10,9,4,1
"1994",12,7,3,NA
"1995",21,19,11,5
"1996",13,13,9,6
"1997",9,8,3,1
"1998",14,14,10,3
"1999",16,12,8,5
"2000",19,15,8,3
"2001",17,15,9,4
"2002",14,12,4,2
"2003",21,16,7,3
"2004",16,15,9,6
"2005",31,29,15,7
"2006",10,10,5,2
"2007",18,17,7,2
"2008",17,16,9,5
"2009",11,9,3,2
"2010",23,19,12,5
